word,count,date
election,962,2022-11
district,438,2022-11
congressional,436,2022-11
trump,150,2022-11
world,149,2022-11
york,130,2022-11
california,105,2022-11
2022,97,2022-11
cup,96,2022-11
ukraine,92,2022-11
first,84,2022-11
house,82,2022-11
senate,79,2022-11
biden,72,2022-11
state,66,2022-11
climate,65,2022-11
china,65,2022-11
georgia,64,2022-11
democrats,64,2022-11
briefing,63,2022-11
governor,63,2022-11
amendment,63,2022-11
texas,61,2022-11
they,59,2022-11
florida,56,2022-11
city,56,2022-11
russia,55,2022-11
republicans,54,2022-11
do,53,2022-11
twitter,53,2022-11
second,53,2022-11
thanksgiving,51,2022-11
covid,50,2022-11
court,48,2022-11
arizona,46,2022-11
week,46,2022-11
south,45,2022-11
general,45,2022-11
colorado,42,2022-11
carolina,42,2022-11
musk,41,2022-11
million,41,2022-11
third,41,2022-11
time,40,2022-11
north,39,2022-11
nov,38,2022-11
elon,38,2022-11
g,38,2022-11
war,37,2022-11
attorney,37,2022-11
against,36,2022-11
russian,36,2022-11
round,36,2022-11
fourth,36,2022-11
mayor,36,2022-11
virginia,36,2022-11
race,35,2022-11
family,35,2022-11
night,35,2022-11
16,35,2022-11
advance,35,2022-11
pennsylvania,34,2022-11
people,33,2022-11
long,33,2022-11
tax,33,2022-11
black,33,2022-11
wins,33,2022-11
mexico,33,2022-11
constitutional,33,2022-11
secretary,32,2022-11
washington,32,2022-11
man,31,2022-11
spelling,31,2022-11
island,31,2022-11
down,31,2022-11
america,31,2022-11
top,31,2022-11
question,31,2022-11
win,31,2022-11
midterms,31,2022-11
fifth,31,2022-11
ohio,31,2022-11
ftx,31,2022-11
forum,30,2022-11
does,30,2022-11
power,30,2022-11
quotation,30,2022-11
two,30,2022-11
still,30,2022-11
change,30,2022-11
alabama,30,2022-11
attack,29,2022-11
corrections,29,2022-11
art,29,2022-11
abortion,29,2022-11
where,29,2022-11
midterm,29,2022-11
nevada,29,2022-11
sixth,29,2022-11
elections,28,2022-11
y,28,2022-11
holiday,28,2022-11
back,28,2022-11
american,27,2022-11
political,27,2022-11
officials,27,2022-11
homes,27,2022-11
voters,27,2022-11
pelosi,26,2022-11
trial,26,2022-11
these,26,2022-11
other,26,2022-11
years,26,2022-11
kherson,26,2022-11
than,26,2022-11
illinois,26,2022-11
shooting,25,2022-11
dead,25,2022-11
last,25,2022-11
next,25,2022-11
commissioner,25,2022-11
iran,25,2022-11
republican,25,2022-11
michigan,25,2022-11
crypto,25,2022-11
treasurer,25,2022-11
proposition,25,2022-11
going,24,2022-11
supreme,24,2022-11
party,24,2022-11
police,24,2022-11
judge,24,2022-11
run,24,2022-11
most,24,2022-11
case,24,2022-11
jersey,24,2022-11
protests,24,2022-11
seventh,24,2022-11
billion,23,2022-11
faces,23,2022-11
000,23,2022-11
voting,23,2022-11
made,23,2022-11
pay,23,2022-11
takes,23,2022-11
meet,22,2022-11
fight,22,2022-11
gets,22,2022-11
look,22,2022-11
country,22,2022-11
much,22,2022-11
history,22,2022-11
white,22,2022-11
dakota,22,2022-11
workers,22,2022-11
eighth,22,2022-11
jan,21,2022-11
fire,21,2022-11
far,21,2022-11
global,21,2022-11
wisconsin,21,2022-11
help,21,2022-11
inflation,21,2022-11
10,21,2022-11
through,21,2022-11
news,21,2022-11
way,21,2022-11
public,21,2022-11
want,21,2022-11
another,21,2022-11
maryland,21,2022-11
game,20,2022-11
amid,20,2022-11
children,20,2022-11
tuesday,20,2022-11
key,20,2022-11
leader,20,2022-11
evening,20,2022-11
marathon,20,2022-11
times,20,2022-11
team,20,2022-11
m,20,2022-11
work,20,2022-11
women,20,2022-11
ballot,20,2022-11
summit,20,2022-11
vote,20,2022-11
woman,19,2022-11
end,19,2022-11
many,19,2022-11
high,19,2022-11
fed,19,2022-11
should,19,2022-11
would,19,2022-11
battle,19,2022-11
lost,19,2022-11
read,19,2022-11
deal,19,2022-11
watch,19,2022-11
books,19,2022-11
