word,count
trump,340
israel,168
biden,149
trial,103
gaza,87
aid,81
war,79
election,75
court,75
2024,72
york,72
abortion,72
ukraine,71
iran,71
case,66
they,59
do,58
april,54
china,47
time,45
million,45
protests,45
house,44
years,43
briefing,43
primary,43
week,42
back,42
eclipse,41
she,40
columbia,40
first,39
ban,39
against,38
israeli,38
supreme,38
attack,38
america,37
world,37
these,36
city,36
arizona,35
law,35
than,35
should,35
pennsylvania,35
california,33
strike,33
judge,33
art,33
state,32
people,32
spelling,31
quotation,30
corrections,30
forum,30
donald,30
american,30
connections,30
companion,30
history,30
criminal,30
student,30
wordle,29
help,29
fire,29
way,29
man,29
made,29
killed,28
j,28
before,27
next,26
president,26
tiktok,26
police,26
billion,26
military,26
homes,25
workers,25
school,25
us,25
music,24
don,24
johnson,24
deal,24
congress,24
times,24
them,23
two,23
bill,23
e,23
solar,23
family,23
prison,23
earthquake,23
black,23
women,23
manhattan,23
political,23
leader,23
real,23
inside,23
party,23
under,22
tv,22
want,22
plan,22
pay,22
protesters,22
books,22
read,22
voters,22
down,22
takes,22
late,22
democrats,22
inflation,22
jr,22
000,22
power,21
group,21
chinese,21
behind,21
news,21
protest,21
top,21
three,21
district,21
takeaways,21
ex,21
most,21
college,21
where,21
congressional,21
officials,21
pro,21
go,20
climate,20
ruling,20
m,20
democratic,20
senate,20
won,20
y,20
end,20
money,20
dead,20
campus,20
taiwan,19
fight,19
book,19
coming,19
problem,19
netanyahu,19
watch,19
him,19
look,19
does,19
immunity,19
key,18
long,18
really,18
broadway,18
death,18
media,18
night,18
second,18
wants,18
face,18
find,18
push,18
germany,18
b,18
change,18
high,18
work,18
hit,18
use,18
artist,18
finds,18
civil,17
republican,17
might,17
star,17
future,17
republicans,17
said,17
amid,17
killing,17
me,17
russia,17
tesla,17
other,17
try,17
would,17
simpson,17
taylor,17
10,16
japan,16
