_id,headline,pub_date
nyt://article/df646720-840a-559b-9019-a38e073d374d,Correction Officer Is Stabbed in Head by Rikers Detainee,2022-11-01 01:01:28
nyt://article/bea5feb0-69e1-53a8-a0d0-eb8028756bfd,Game 3 of the World Series Is Postponed Because of Rain,2022-11-01 01:11:00
nyt://article/b54435b9-a1e6-53a5-909a-58142f8ce981,Rumor Has It …,2022-11-01 02:00:04
nyt://article/e860a43e-23b4-53d5-b1b7-9c87012e6e58,Idaho Man Convicted in 1984 Murder of 12-Year-Old Colorado Girl,2022-11-01 02:28:48
nyt://video/bb3260bb-b2a2-5e3d-96be-4a9526b1667f,Prosecutor Announces Charges Against Suspect in Pelosi Attack,2022-11-01 02:43:42
nyt://article/55dccfd3-c8bb-5cf2-8fb4-8919b319fe17,Suit by Meadows Seeking to Block Jan. 6 Panel’s Subpoenas Is Dismissed,2022-11-01 02:56:58
nyt://article/3020b888-4589-5281-ae87-d8948c281b36,2-Minute Showers and a Flotilla of Gas Shipments: Europe Braces for Winter,2022-11-01 04:00:12
nyt://article/2b9aebcb-57e6-514b-8808-b286e1a04f4d,"Corrections: Nov. 1, 2022",2022-11-01 04:42:06
nyt://article/82547685-9bff-5b80-884c-833b2e6c37f4,"In Israel’s Election, the Judiciary Is on Trial",2022-11-01 05:00:06
nyt://article/7b8bead5-761d-5dea-84c3-6bec858a1ba2,Putin Says Ukraine Doesn’t Exist. That’s Why He’s Trying to Destroy It.,2022-11-01 05:00:16
nyt://article/cb1a5b86-75d3-5662-8eb9-1bed11572c50,Three more grain ships set sail from Ukraine amid questions about their safety.,2022-11-01 05:18:37
nyt://article/27c5934e-c430-5888-861d-00ac154b7865,"Fourteen People, Including Three Children, Are Wounded in Chicago Shooting",2022-11-01 05:21:28
nyt://article/0917f785-0608-55f1-b8f6-8c9e4e1e644a,Your Tuesday Briefing,2022-11-01 05:23:03
nyt://article/a56e48e0-7816-5ee2-b5ad-b05693dadebd,Word of the Day: omniscient,2022-11-01 06:00:02
nyt://article/40ad765a-0e76-5bd6-a8ee-0c660058904e,"When Picasso Created an Image of Notre-Dame, All in Glass",2022-11-01 06:36:10
nyt://article/ba3cf974-038f-597c-bf05-fc078a5f10ed,Red Poster,2022-11-01 07:00:02
nyt://article/03712169-aed8-5021-a8dc-bfcbf182773c,Spelling Bee Forum,2022-11-01 07:00:03
nyt://article/93bbb877-4e28-593c-944a-0fb49b68d81a,"In Close, Crucial Governor’s Races, Poll Finds Sharp Split on Elections",2022-11-01 07:00:16
nyt://article/4330557f-6fe1-5238-ab1e-8c31d23f45f0,The Fading Art of Preserving the Dead,2022-11-01 07:00:18
nyt://article/19f90f78-fed8-56a0-986c-2ffd37ff0793,Here’s what’s at stake as Israelis cast their ballots.,2022-11-01 07:01:22
nyt://article/6acee175-99ba-507a-973e-9bd0b7919e4b,Why Does Israel Keep Having Elections?,2022-11-01 07:01:23
nyt://article/1be3a973-3630-525a-a465-67c8f4681a6e,Trevor Noah Brings ‘The Daily Show’ to Georgia,2022-11-01 07:10:35
nyt://article/9301ed71-fc37-569d-9da6-e72b2abeecf3,American Money Has Discovered Indian Cricket,2022-11-01 08:33:03
nyt://video/c10df7fb-b8af-5460-94f5-6c8dddfdcc9e,Long Line of Ladies,2022-11-01 08:55:04
nyt://article/e39e53c7-9125-5532-aa2d-1cc1156a9d17,Denmark Heads for Period of Uncertainty After Snap Election,2022-11-01 08:59:14
nyt://article/3dfb2dd5-846a-58b5-a560-c3db67123a30,What Are the Little Rituals That Keep You Going?,2022-11-01 09:00:06
nyt://article/52dbdf68-af29-5b7b-b341-cba48a566535,"In This Novel, You’ll Hear a Dead Person. Listen Carefully.",2022-11-01 09:00:07
nyt://article/63cbaffa-3397-5c88-9122-2aac1d112d3f,Can’t Sleep? Try Sticking Your Head in the Freezer.,2022-11-01 09:00:07
nyt://article/ed06cab8-9c9b-5aa2-844d-ca7e976b3aa8,"My Greek Father’s Simple, Comforting Bowl of Chickpeas and Spinach",2022-11-01 09:00:07
nyt://article/48eb7485-ccb9-504e-bf7e-606872479354,"In Northern Ireland During the Troubles, a Secret Romance",2022-11-01 09:00:08
nyt://article/13acb64c-613f-518b-b5e6-2eee9988541c,A Worrisome Pattern Re-emerges in Seeking Response From Republicans,2022-11-01 09:00:09
nyt://article/82b2c02e-5bb1-5145-a135-002f6bc9f6c3,Did your company just add salary information to job posts?,2022-11-01 09:00:09
nyt://article/b61010d0-0d2e-5bff-9534-73ba8faacca5,The Gloriously Earthy Stink of Katherine Dunn’s Fiction,2022-11-01 09:00:09
nyt://article/d30be3df-8aea-5365-aff4-f9b128e18ca3,"Asian American Students Face Bias, but It’s Not What You Might Think",2022-11-01 09:00:09
nyt://article/2fb3e012-63dd-5535-9485-0fb9e14b84d8,"When a Girl’s First Period Calls for Celebration, Not Stigma",2022-11-01 09:00:10
nyt://article/ccec0255-169f-587a-b789-789e6278ad0e,Is It Better to Brush Your Teeth Before Breakfast or After?,2022-11-01 09:00:10
nyt://article/307badb8-b2b7-5616-8867-c12fcd4274cd,"In the Political Talk Show Race, Outrage Is Winning",2022-11-01 09:00:12
nyt://article/4789f516-723e-5365-9b65-e58e094113de,Jerry Saltz Plays It Uncharacteristically Safe,2022-11-01 09:00:12
nyt://article/95bd45d6-9416-5d4d-97a2-015ebb5ebab0,A Dystopian Fable About the Unshakable Borders of Class,2022-11-01 09:00:12
nyt://article/a348f833-6e8e-58ef-a944-2e92f2270613,"If You Raised Money After a Fire, Can You Spend It on a Vacation?",2022-11-01 09:00:14
nyt://article/3c4efbac-7a6c-552c-b477-1c72bf5cdf4c,"Imprisoned on an Island, They Formed an Unlikely Arts Colony",2022-11-01 09:00:16
nyt://article/e352e6f7-3f61-519c-b322-adcf2314bae2,Tell Me Something Bad About Tulsa,2022-11-01 09:00:17
nyt://article/7aa7db49-4742-5da6-b4f7-4d8257f1b891,"Schumer Can Take the Insults, if It Helps Keep Democrats in Power",2022-11-01 09:00:19
