_id,headline,pub_date
nyt://video/50df83bc-75c9-5d5c-9158-250d5d3b1a19,What Happened at the Trump Trial on Tuesday,2024-05-01
nyt://article/cdc13b3a-8a1a-5113-8514-54cbc4b0e761,Even Celebrities Don’t Know How to Ask Their Friends About Ozempic,2024-05-01
nyt://article/bf2954a1-c977-59d1-8af3-f695fbfb40a8,Law Firm Defending Trump Seeks to Withdraw From a Long-Running Case,2024-05-01
nyt://article/084cad47-beeb-5ddd-8d8f-e60db0174ab0,Transcript: Ezra Klein Interviews Hannah Ritchie,2024-05-01
nyt://article/03df04d2-62d7-5c8b-9261-08031ac262ad,Albuquerque School’s Staff on Leave After Drag Show at Prom,2024-05-01
nyt://article/0721aec8-8f09-56c3-ae44-4e0286e103d2,"Democrats Win New York Special House Election, Narrowing G.O.P. Majority",2024-05-01
nyt://article/d55fc4a0-2c05-5ab3-9cfa-6e977910f81d,Bit in a Bar,2024-05-01
nyt://article/80dbd056-8204-59a4-934e-c7093a3e58bb,Federal Judges Block Newly Drawn Louisiana Congressional Map,2024-05-01
nyt://article/f1883a9a-b303-5a6e-bed9-801d104a2147,"Tornado Destroys Homes, Kills at Least One in Kansas",2024-05-01
nyt://article/5b8d2adc-c352-5881-aa7f-39137914caa3,Columbia Asks N.Y.P.D. to Stay on Campus Through Middle of May,2024-05-01
nyt://article/18b0fd29-3074-5f4b-90b9-82c7739be58d,Text of April 30 Letter From Columbia’s President to N.Y.P.D.,2024-05-01
nyt://article/736f41b5-6265-5318-be00-2b7bb831f5c9,"Paul Auster, the Patron Saint of Literary Brooklyn, Dies at 77",2024-05-01
nyt://article/f5a5c471-bdde-5e29-bc1c-813b7a0d6f28,Paul Auster’s New York Tragedy,2024-05-01
nyt://article/5784b334-7e3e-50d3-9e5f-29c72128f3d8,"China’s Electric Cars Keep Improving, a Worry for Rivals Elsewhere",2024-05-01
nyt://article/6b953e60-a736-55ee-a91e-84d9d2129fe8,He Won by a Landslide. Why Is He Fighting for His Political Life?,2024-05-01
nyt://article/84ad8cf3-0fcc-5487-8db6-e524dae2c818,Wednesday Briefing,2024-05-01
nyt://article/a24352c5-2916-5877-9c38-7b4b58d1909f,"Swimming Beneath Sand, It’s ‘the Hardest of All Animals to Find’",2024-05-01
nyt://article/d104b618-8633-5e66-8471-ddae49c6ded7,Police Arrest Protesters at City College in Harlem,2024-05-01
nyt://interactive/f5a5ecf3-97b2-5a05-92e9-094def08558d,Read the Federal Judges’ Ruling,2024-05-01
nyt://article/c6473a7b-ea31-53be-9e40-546cc9c12f10,Quotation of the Day: Delicious Wherever You Are,2024-05-01
nyt://article/87bc1282-588f-5c0f-b493-2436a4508d42,"Corrections: May 1, 2024",2024-05-01
