_id,headline,pub_date
nyt://article/535b0f54-b05a-53c7-9776-f23f5c848e1e,Donald Trump Still Wants to Kill Obamacare. Why?,2023-12-01 00:00:09
nyt://article/adb494c7-950f-5a7f-be28-03536afd6ca1,6 Former Jail Officers Charged in Death of West Virginia Inmate,2023-12-01 00:02:56
nyt://article/427a4019-20ec-5b79-be62-9ea8fb811333,Israel Knew Hamas’s Attack Plan More Than a Year Ago,2023-12-01 00:16:08
nyt://article/e3122a10-c916-5d82-b1db-3b8b6c1fc664,Judge Halts TikTok Ban in Montana,2023-12-01 00:16:41
nyt://article/e2e22d32-ef8f-595f-acfa-cc176a341d26,"Kissinger Had the Ear of Presidents. He Had Their Awe and Ire, Too.",2023-12-01 00:27:49
nyt://article/b2018da1-3d6b-5318-b16c-2cb9694381a5,Criminal Investigation Roils Florida Republican Party,2023-12-01 00:34:00
nyt://article/dd0c599a-4ad8-55f2-85fa-a9e6bceff1b5,"Biden Hosts Angola’s President, Seeking to Strengthen Africa Ties",2023-12-01 00:35:41
nyt://article/0770d2d5-da55-5059-b7c5-9b8b73d9d530,Jeff Bezos’ Giant Yacht Is Apparently Too Big to Anchor Near Others in Florida,2023-12-01 00:51:53
nyt://article/ff01b1da-3dbb-5a7e-b2d5-02dc16de9c39,Alleged Assassination Plot on U.S. Soil Tests Biden’s Bond With India’s Leader,2023-12-01 00:54:11
nyt://article/aa65cc57-b82b-521e-ada4-acd5e5ac1743,Blinken Urges Israel to Take Concrete Steps to Aid Civilians as More Hostages Are Freed,2023-12-01 01:05:19
nyt://article/afb0f54b-12ff-5076-8d61-bb5863f51052,Return to Haiti of a Coup Leader Raises Concerns of More Turmoil,2023-12-01 01:24:00
nyt://article/dbcf0dc6-0db3-59d4-afb1-a7ca4314abea,"For Ron DeSantis, a Democratic Sparring Partner at a Tenuous Time in His Campaign",2023-12-01 01:31:06
nyt://article/51e2fb43-f6fb-5c88-bbb6-665e2f581be8,3-Year-Old Boy Killed in Hit and Run in Queens,2023-12-01 01:59:41
nyt://article/aebd12a7-569f-55c1-956f-1fb53813bb56,Review: A Shady Documentary Becomes a Weapon of War in ‘Spain’,2023-12-01 02:00:08
nyt://article/a3e2aadd-a34c-518e-86e0-8efb371077b7,Theresa Nist ‘Never Expected to Get to This Part’,2023-12-01 02:40:35
nyt://article/95d9cd32-400a-520f-97cb-5edda4d629fb,Massive Step Forward,2023-12-01 03:00:09
nyt://article/d5a4848c-7c4f-5f42-831d-4e7c9839bc65,Variety: Acrostic,2023-12-01 03:02:03
nyt://video/0c57d55c-629d-51b7-b126-cce339dea107,Underwater Video Shows U.S. Plane on Fragile Coral Reef,2023-12-01 03:33:23
nyt://article/c9a6fd9a-b48a-509d-ac0e-943858bd5900,Climate Protesters Interrupt Met Performance of Wagner’s ‘Tannhäuser’,2023-12-01 04:09:12
nyt://article/b9e87fba-8a4e-584b-93f6-c0f3ffb4fd68,5 Takeaways From the DeSantis-Newsom Debate,2023-12-01 04:47:06
nyt://article/44c8df3e-6d38-5d34-856e-12256d336a10,"Game, Set and a Match for a Former Tennis Pro",2023-12-01 05:00:18
nyt://article/6f57a0f3-e7d7-5986-8397-b60350f6c940,A New Journey After Two Long and Happy Marriages,2023-12-01 05:00:18
nyt://article/fa124875-2991-5aad-ac47-fe05cedd4b16,It All Started With a Bottle of Shalimar,2023-12-01 05:00:18
nyt://article/de711ef2-1e2c-5c84-85e8-7172d0be8201,Were We the ‘Fat Couple’?,2023-12-01 05:00:19
nyt://article/0e2bc20d-1afe-5aef-b550-19ca02c961b3,Quotation of the Day: Pickup or Lunar Lander? Tesla’s Cybertruck Arrives.,2023-12-01 05:00:24
nyt://article/995e1b0c-bd18-5a93-90c5-8dbf1a30f709,"Corrections: Dec. 1, 2023",2023-12-01 05:00:25
nyt://article/e261d862-7e1d-5d90-84bf-a41511d01f76,From Roommates to Friends to ‘Turbo Twins’,2023-12-01 05:00:34
nyt://article/ac5a9491-0e22-5a9f-88ca-b2c45ebe64c6,Exactly How Much Life Is on Earth?,2023-12-01 05:02:07
nyt://article/0c558648-7ef6-5971-8840-b0579d69cd4f,Talks were continuing in hopes of reviving the truce.,2023-12-01 05:35:25
nyt://article/d7d3eaeb-f164-5c06-880b-6e5f3b7dea12,Friday Briefing,2023-12-01 05:50:12
nyt://article/9f4c0411-87ad-57c8-a01e-6825285e6868,A Back Door to Taylor Swift’s Australia Tickets? Not if You’re in Australia.,2023-12-01 06:03:41
nyt://article/bc9009de-7ea5-5bfd-aee2-a038a6256da8,What to See in N.Y.C. Galleries in December,2023-12-01 06:21:08
nyt://article/73e329dd-c52a-5850-88ca-0e4357cc762e,Word of the Day: allusive,2023-12-01 07:00:02
nyt://article/b72c5b0a-476c-5784-b7f1-5ae013ceada6,The Connections Companion,2023-12-01 08:00:09
nyt://article/d6b23ba6-fb51-5257-b214-98f7bab5dffc,Spelling Bee Forum,2023-12-01 08:00:09
nyt://article/56a30907-e25f-5e07-b836-937e885f7acf,Congestion Pricing Is Coming. Its Opponents Are Still Furious.,2023-12-01 08:00:10
nyt://article/cdfb76e0-fb3a-5d7d-8eb3-28d130c95491,Today’s Wordle Review,2023-12-01 08:00:10
nyt://article/9fbc3de1-01ae-5f75-9922-eb6287f210d7,The Real Story Behind Shane MacGowan’s ‘Boys of the N.Y.P.D. Choir’,2023-12-01 08:00:11
nyt://article/8e9a7822-884a-5c9f-97bf-7886375bff32,The Red Planet,2023-12-01 08:00:17
nyt://article/1d6f4fc0-3783-5010-814f-1eaafa6c1db1,King Charles Urges ‘Transformational Action’ at COP28 Climate Summit,2023-12-01 09:12:21
nyt://article/bced1742-f1ff-5614-96bb-af28c095c623,A Subversive Counternarrative to the Biblical Story of Jezebel,2023-12-01 10:00:15
nyt://article/cb313a2f-8142-53ff-8a1c-b1ab9e1a2a6f,7 Brilliant Cookies to Keep Your Holidays Bright,2023-12-01 10:00:17
nyt://article/405d1177-5116-57ca-84ba-e216685fac46,Madonna Lived to Tell,2023-12-01 10:00:18
nyt://article/68eaf008-a3f0-5993-bd48-0dbd93942705,"9 Mysteries — Some New, Some Old — You Won’t Be Able to Put Down",2023-12-01 10:00:20
